id,rating,might,fights
919293,1073,23538,500
395007,700,19153,500
395008,1526,28527,500
132866,1270,26377,500
526083,1071,23981,500
395012,987,23017,500
395014,1638,29266,500
263944,1186,25527,500
526089,1130,24577,500
263948,850,21620,500
657165,1306,26298,500
459053,1518,28484,500
657168,2873,37376,495
519438,2836,36870,497
415363,1812,30361,500
919317,636,17734,500
263959,2313,33404,500
919321,1288,25717,500
132891,719,19689,500
395037,1403,26976,500
1312542,137,5853,491
1529477,95,4708,468
526114,871,21634,500
1443619,466,14319,500
395046,130,6243,486
919335,882,21703,500
1181480,329,11310,500
526121,633,17864,500
672197,1309,26980,500
263981,2602,34837,500
263985,1446,27712,500
132914,517,16742,500
788279,1181,25252,500
526136,1060,23539,500
132921,804,20641,500
788283,1892,30967,500
263996,2116,32328,500
1443645,308,12076,499
1048885,555,17389,500
919361,663,18901,500
919364,592,17285,500
395077,376,12984,500
1443654,343,12773,500
1181511,1032,22904,500
1443656,174,6457,491
526153,1503,28116,500
1181515,755,20016,500
100446,2339,33624,500
1050448,243,8706,498
395093,1035,23096,500
919382,667,19294,500
590137,265,9419,500
132953,740,20587,500
395099,446,13620,500
526175,998,23355,500
1551334,60,4219,457
1050471,757,19122,500
1312616,524,16014,500
437223,904,21672,500
395116,1137,25029,500
175080,377,13511,500
264051,2124,32321,500
132982,1308,25932,500
657271,885,22470,500
1312632,91,5518,477
919420,1151,25342,500
788350,1252,26078,500
1050495,952,23464,500
788352,1122,24522,500
919426,1512,28053,500
1420267,286,10855,500
1181573,670,19737,500
657287,1554,28947,500
788363,276,9637,498
788364,1053,24160,500
919438,1273,25943,500
395151,638,17614,500
788369,846,21751,500
1443731,648,18274,500
1507652,-4,2263,217
1181594,408,14060,500
1181596,875,22175,500
1050525,149,6395,483
133023,1549,28808,500
1536376,-5,1650,115
1181602,943,22355,500
657315,1687,29334,500
1181604,1885,30671,500
657317,2002,31744,500
919463,-9,2070,179
395176,1414,27288,500
919465,809,20698,500
395178,2350,33855,500
1442119,79,4654,467
1181615,253,9255,500
526258,748,20166,500
1312691,633,18300,500
919477,31,3660,423
788407,1491,28461,500
264121,2081,32340,500
264122,1327,26896,500
1048906,887,22068,500
526271,1472,27640,500
526273,1996,31599,500
526281,774,19603,500
133066,2145,32237,500
1420279,37,3678,419
1050572,604,18270,500
395218,1367,26875,500
133076,1714,30029,500
264150,614,17369,500
1420281,-1,905,70
1312729,932,22619,500
919514,50,3669,408
657373,592,17215,500
657375,713,20127,500
1443808,384,12683,500
395234,2318,33359,500
395235,1600,28538,500
1463974,447,14211,500
788456,1101,24027,500
526314,1089,24362,500
1540743,101,5796,483
395245,1922,31173,500
919536,1054,22909,500
133112,2128,32359,500
133115,767,20543,500
788477,174,6871,493
133118,281,10452,500
721237,556,16909,500
788481,676,19087,500
526338,738,20562,500
939691,347,12319,500
788484,1014,23685,500
395270,2462,34563,499
395272,1747,29602,500
1312778,39,3749,420
786775,583,17317,500
1514709,405,13850,500
788493,1668,29280,500
788499,1420,27527,500
497624,116,5776,479
1050646,169,7110,495
919575,773,20365,500
1443864,342,12432,499
657434,1368,27122,500
133152,1401,27052,500
264227,881,21631,500
526373,1078,24248,500
133161,1080,23586,500
788525,114,5721,487
568328,1895,31357,500
1443890,320,11297,500
1312821,224,8435,498
1312828,436,14964,500
526397,937,22432,500
526398,636,19154,500
1050688,388,12527,500
1502959,116,5440,479
526402,1638,28903,500
